UID,lon,lat,CEWOVll,nearest_mapped_dist,n_wetlands_pwet,area_wetlands_pwet,wet_prop_mean,area_mean_max,STRANNTEMP,STRELEMEAN,STRANNRAIN,RUNANNMEAN,VALLEYSLOPE,Perca fluviatilis,Philypnodon grandiceps,Cyprinus carpio,Gambusia holbrooki,Nannoperca australis,Retropinna semoni,Craterocephalus fluviatilis,Gadopsis marmoratus,Mogurnda adspersa,Hypseleotris klunzingeri,Galaxias rostratus,Misgurnus anguillicaudatus,id
r1g03dj75,139.293102481493,-35.1005909204999,Lower Murray,80.4625372789601,0,0,1,21.30626918242636,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,5,5,504,12,0,88,28,0,0,0,0,0,3124
r1g03fekb,139.29946999509,-35.0981855885,Lower Murray,353.188352299782,3,11.0826198078985,0.6486486486486487,0.2483382269622612,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,2,18,2,0,1,3,0,0,0,0,0,3126
r1g03g5ut,139.301619848388,-35.0945663055,Lower Murray,57.5626033973906,0,0,1,33.10946955709607,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,18,4,738,44,0,33,55,0,0,0,0,0,3127
r1g041m1q,139.313175259155,-35.1484882975,Lower Murray,0,0,0,1,9.298075231574307,15.3217754364014,1.40044414997101,364.596496582031,13494177,0.00372391939163208,0,0,61,0,0,0,0,0,0,0,0,0,3138
r1g06nzvr,139.318437703306,-35.0697025975,Lower Murray,32.4628214546115,0,0,1,13.100719265755744,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,1,0,1,0,0,0,0,0,0,0,0,3149
r1g0d4zs4,139.316621181596,-35.0531453304999,Lower Murray,0,0,0,1,6.90432493735442,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,37,29,51,49,0,21,8,0,11,0,0,0,3157
r1g0d779f,139.319235568998,-35.0520793885,Lower Murray,0,0,0,1,2.1114020825608484,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,3,1,3,0,0,0,0,3,0,0,0,3161
r1g0ekkud,139.367320099296,-35.046174792,Lower Murray,52.1670654900235,0,0,1,24.537557813429803,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,0,42,24,0,9,0,0,0,0,0,0,3178
r1g0ekxth,139.372477255276,-35.0421686179999,Lower Murray,173.960748206183,1,4.6521266179901,0.8108108108108109,0.4507254211929793,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,0,364,74,0,0,0,0,0,0,0,0,3179
r1g0emyvx,139.371243691131,-35.0357111695,Lower Murray,158.242311208291,0,0,0.972972972972973,47.519746490537024,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,2,560,138,0,2,0,0,7,0,0,0,3181
r1g0eqtfn,139.369932852249,-35.032304242,Lower Murray,202.237652183473,0,0,0.8108108108108109,0.6282747954378973,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,0,0,319,33,0,0,0,0,130,0,0,0,3182
r1g0erp03,139.371040559025,-35.0276853465,Lower Murray,134.527210366343,1,4.6521266179901,1,2.0891630242277572,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,1,0,225,23,0,25,0,0,0,0,0,0,3184
r1g0g2hpy,139.367502415246,-35.0231205914999,Lower Murray,96.4167627300395,0,0,1,49.504016040119176,15.4035882949829,4.51841259002686,331.820587158203,13491895,0.0122435400262475,1,0,167,5,0,1,0,0,0,0,0,0,3203
r1g10ttce,139.245808781989,-34.9465732044999,Lower Murray,0,3,7.8688350283704,0.945945945945946,1.353900693247001,15.7027778625488,11.6001892089844,314.888885498047,17614.96484375,0.301127731800079,0,0,116,8,0,21,0,0,0,0,0,0,3221
r1g10vnrb,139.263694094896,-34.9579236775,Lower Murray,0,0,0,1,82.39071184663038,15.682222366333,5,311.255554199219,13491847,0,0,5,4,2,0,5,0,0,0,0,0,0,3222
r1g10wjk9,139.250379130881,-34.947274182,Lower Murray,28.6825889167105,0,0,0.972972972972973,12.843964696258633,15.7027778625488,11.6001892089844,314.888885498047,17614.96484375,0.301127731800079,27,1,220,2,0,104,0,0,0,0,0,0,3224
r1g10wt1s,139.248077484269,-34.9443836185,Lower Murray,0,0,0,0.972972972972973,3.3525626709490632,15.7027778625488,11.6001892089844,314.888885498047,17614.96484375,0.301127731800079,6,0,287,2,0,99,0,0,0,0,0,0,3225
r1g16xx58,139.333925052888,-34.8955751294999,Lower Murray,0,0,0,1,183.73550463711925,15.8000001907349,5,299.846160888672,13474176,0,1,1,1,2,0,0,0,0,0,0,0,0,3340
r1g1rzqs5,139.561677622731,-34.8901105774999,Lower Murray,91.1801425286184,6,12.0595403850054,1,2.0058111917452637,15.8000001907349,5,292,13468453,0,0,4,4,1,0,1,0,0,0,0,0,0,3411
r1g1tqx4s,139.458756963134,-34.856239328,Lower Murray,52.6652329244865,8,34.9752310874159,0.918918918918919,1.7952477255807355,15.7861108779907,5,290.666656494141,13468453,0,0,9,4,4,0,8,0,0,0,0,0,0,3463
r1g1trnp3,139.476310744769,-34.8603170489999,Lower Murray,159.855962568165,9,37.165873685152,0.972972972972973,4.145132075114345,15.7861108779907,5,290.666656494141,13468453,0,22,0,42,0,0,0,0,0,0,0,0,0,3464
r1g1tts72,139.466614257353,-34.861195766,Lower Murray,36.4124575944514,0,0,1,7.700390265691556,15.7861108779907,5,290.666656494141,13468453,0,0,2,0,2,0,2,0,0,0,0,0,0,3468
r1g1tv75z,139.477678711006,-34.862872113,Lower Murray,122.797832977914,0,0,1,126.21367687069234,15.7861108779907,5,290.666656494141,13468453,0,0,7,4,3,0,4,0,0,0,0,0,0,3475
r1g1wethr,139.512604519038,-34.872885583,Lower Murray,54.4072845694085,0,0,1,217.74887403662004,15.7861108779907,5,290.666656494141,13468453,0,8,17,112,4,0,17,0,0,0,0,0,0,3491
r1g1wgn7d,139.523044513402,-34.8755413844999,Lower Murray,40.910796934541,6,21.604623795913,0.972972972972973,1.974531579723932,15.7861108779907,5,290.666656494141,13468453,0,2,0,6,0,0,0,0,0,0,0,0,0,3496
r1g1ws254,139.50382621999,-34.8688251109999,Lower Murray,583.462102787833,6,27.107026787659,0.918918918918919,1.1739763927774909,15.7861108779907,5,290.666656494141,13468453,0,10,13,48,2,0,10,0,0,0,0,0,0,3500
r1g1x8yx2,139.556261480013,-34.8847627709999,Lower Murray,0,0,0,1,75.03779463246934,15.8000001907349,5,290.5,13468453,0,4,26,39,30,0,39,0,0,0,0,0,0,3520
r1g1xedwe,139.552849613572,-34.873003461,Lower Murray,0,9,30.1318553705053,0.972972972972973,1.0651625194692136,15.8000001907349,5,289,13468453,0,0,3,0,2,0,0,0,0,0,0,0,0,3528
r1g1xefsc,139.553156982213,-34.87173501,Lower Murray,0,0,0,0.972972972972973,17.18935680213435,15.6499996185303,18.3194694519043,297.5,0,2.39382433891296,0,92,40,12,0,2,0,0,0,0,0,0,3529
r1g1xs46s,139.550436523866,-34.869979368,Lower Murray,0,0,0,0.7027027027027027,0.15512502381190954,15.6499996185303,18.3194694519043,297.5,0,2.39382433891296,0,18,21,0,0,1,0,0,0,0,0,0,3532
r1g1zty6b,139.557202774942,-34.8168084719999,Lower Murray,50.9229762740301,0,0,0.945945945945946,34.881550078960814,15.8857135772705,5,282.428558349609,13468452,0,0,17,7,126,0,1,0,0,0,0,0,0,3542
